timestamp,amount,temperature,humidity,windspeed
1703057967000,460.91,-1.5,73,5.66
1703063367000,459.24,-1.8,73,7.2
1703066967000,457.61,-2,74,4.12
1703084067000,459.12,0.8,66,5.66
1703110166000,457.12,4.1,58,3.6
1703120066000,455.62,2.5,67,5.66
1703130866000,453.18,1.5,78,2.57
1703132666000,454.92,1.1,80,3.6
1703136266000,456.63,0.6,77,3.09
1703145266000,454.71,1.1,76,4.47
1703148866000,456.24,1.3,73,4.47
1703151566000,457.86,1.2,75,4.12
1703155166000,456.08,1,73,6.69
1703159666000,457.59,0.3,74,4.63
1703162366000,459.33,0.4,74,6.17
1703169566000,457.75,1.8,63,6.69
1703173166000,456.09,2.3,61,7.72
1703192065000,454.17,1.7,40,7.72
1703202865000,452.64,-1.2,47,6.69
1703225365000,450.93,-3.8,54,4.63
1703228065000,453.15,-4.2,56,5.14
1703230765000,454.79,-4.3,57,3.09
1703236165000,453.09,-4.9,64,2.57
1703244265000,451.03,-6.1,68,2.57
1703246065000,449.36,-6.1,68,2.57
1703248765000,451.6,-5.9,75,2.57
1703251465000,453.25,-5.5,66,3.09
1703255065000,451.44,-4,65,4.12
1703259565000,452.97,-1.7,56,4.12
1703262265000,454.73,-0.5,51,3.09
1703264965000,452.89,0.5,47,2.57
1703269465000,451.26,1.1,47,2.06
1703286564000,449.33,-1.4,60,0
1703292864000,451.08,-2.2,67,0
1703296464000,449.05,-2.2,69,0
1703300064000,447.14,-2.7,76,1.54
1703302764000,445.5,-2.8,74,0
1703307264000,447.2,-3,75,0
1703312664000,448.81,-3.1,71,0
1703318064000,447.24,-3.1,74,0
1703323464000,445.4,-2.8,78,2.06
1703332464000,443.71,-2.8,80,0
1703333364000,445.47,-3,74,0
1703335164000,447.53,-2.5,80,0
1703338764000,445.82,-1.5,73,2.06
1703340564000,443.1,-0.7,81,2.06
1703345064000,444.84,0.3,81,1.54
1703347764000,443.33,1.1,78,1.54
1703361264000,441.66,3.2,75,2.06
1703363064000,439.94,3.6,72,2.06
1703364863000,442.43,3.4,75,2.06
1703367563000,443.95,3,78,1.54
1703372963000,442.41,2.2,76,0
1703375663000,439.45,2.2,80,2.57
1703377463000,437.49,2.1,79,1.54
1703380163000,439.34,1.7,83,1.54
1703383763000,441.03,1.7,84,1.54
1703389163000,442.54,1.9,85,1.54
1703393663000,440.65,2.2,85,0
1703396363000,439.11,1.6,88,0
1703397263000,440.84,2.3,84,0
1703399063000,442.86,2,87,0
1703403563000,444.4,2.3,91,2.57
1703405363000,442.19,2.3,91,0
1703407163000,439.71,2.2,96,0
1703408963000,437.61,2.4,93,2.06
1703437763000,435.5,6.3,87,0
1703442263000,437.38,7,87,1.54
1703444963000,439.26,7.4,71,1.54
1703448562000,437.57,7.3,72,1.15
1703457562000,435.45,6.2,92,0.65
1703459362000,433.9,5.9,89,0
1703468362000,435.87,5.6,92,0
1706292232000,267.83,5.3,93,2.06
1706358091000,266.3,3.9,94,3.09
1706448090000,264.78,2.8,93,5.14
1706494890000,263.16,1.9,92,5.14
1706511089000,261.48,1.7,91,5.14
1706538089000,259.73,1.9,86,6.69
1706542589000,258.21,2.3,81,8.23
1706576789000,256.56,1.3,74,3.6
1706607388000,255.02,0.2,76,3.09
1706616388000,253.35,0.1,77,2.06
1706642488000,251.8,1.6,69,3.6
1706656888000,250.29,1,77,2.57
1706674888000,248.76,0.4,81,3.6
1706702787000,247.15,0,82,2.57
1706732487000,245.64,2.5,73,2.06
1706742387000,244.14,1.9,75,0
1706760387000,242.61,1.1,87,0.45
1706777486000,241.08,1.1,87,0
1706799986000,239.56,3.6,86,4.12
1706843186000,238.04,4.6,80,0
1706860285000,236.53,3.6,89,1.54
1706890885000,234.94,4,91,4.63
1706918785000,233.42,3.4,78,4.63
1706925085000,234.93,2.8,75,5.14
1706929585000,233.37,2.5,72,5.66
1706941285000,231.78,0.5,73,6.17
1706962884000,230.2,-1.1,73,4.63
1706988984000,228.59,4.1,49,6.69
1706993484000,230.14,3.8,50,7.2
1706998884000,228.61,2.5,53,6.17
1707016884000,227.09,0.5,63,4.12
1707039383000,225.48,-1.7,68,3.09
1707064583000,223.76,3.6,51,6.69
1707087083000,222.26,3.7,51,4.63
1707114983000,220.7,0,63,6.17
1707134782000,219.07,-2.2,65,5.14
1707150982000,217.45,3.5,44,4.63
1707190582000,215.78,-0.6,51,4.63
1707215781000,214.07,-3.6,60,5.14
1707225681000,212.51,-2.8,61,4.12
1707265281000,211.01,0.1,71,1.54
1707285981000,209.5,-1.3,72,4.12
1707300380000,207.95,-2.1,74,4.12
1707318380000,206.34,2.5,61,4.12
1707359780000,204.78,0.6,69,0
1707384079000,203.23,-1.2,82,2.06
1707403879000,201.69,4.6,57,1.54
1707452479000,200.15,2,87,0.45
1707473178000,198.64,2.9,87,1.54
1707527178000,197.04,5.3,88,0.89
1707559578000,195.53,3.2,94,0
1707588377000,194.01,12.7,66,2.57
1707621677000,192.42,8,90,0.45
1707683776000,190.9,8,59,3.6
1707716176000,189.26,1.6,72,4.12
1707735076000,187.62,-1.2,87,0
1707757575000,186.12,5.1,66,3.09
1707797175000,184.59,2,70,1.54
1707816075000,183.06,0.2,85,3.6
1707837674000,181.52,-0.2,93,6.17
1707856574000,179.87,1.8,84,5.66
1707875474000,178.21,-0.2,80,7.2
1707897974000,176.55,-0.2,69,7.2
1707914174000,174.96,-3.1,57,7.72
1707931273000,173.45,-0.1,51,10.8
1707963673000,171.93,-2.4,53,10.8
1707980773000,170.34,-4.2,62,5.66
1707993373000,168.72,-6,71,2.06
1708006873000,167.19,-2.8,62,2.57
1708038372000,165.69,0.3,58,4.63
1708059972000,164.14,1.2,70,3.09
1708082472000,162.64,1.1,60,10.29
1708100471000,161.1,3,45,10.8
1708138271000,159.44,-0.9,63,2.06
1708162571000,157.78,-2.2,89,2.06
1708181471000,156.13,-1,89,2.57
1708205770000,154.48,0,56,8.23
1708226470000,152.81,-4,57,4.63
1708239070000,151.18,-6,67,2.57
1708254370000,149.54,-5.8,71,2.06
1708266070000,147.91,-2.3,56,5.14
1708300269000,146.4,0.9,51,2.57
1708319169000,144.87,0.2,55,2.57
1708338969000,143.3,-1.3,60,2.06
1708353369000,141.79,1.3,53,8.23
1708393868000,140.12,-2.4,54,2.57
1708412768000,138.48,-4.8,59,3.09
1708425368000,136.83,-6.1,55,4.63
1708438868000,175.66,-2.5,43,3.09
1708438868000,224.62,-2.5,43,3.09
1708438868000,258.45,-2.5,43,3.09
1708438868000,282.16,-2.5,43,3.09
1708438868000,298.55,-2.5,43,3.09
1708438868000,309.87,-2.5,43,3.09
1708438868000,314.97,-2.5,43,3.09
1708438868000,321.22,-2.5,43,3.09
1708438868000,328.1,-2.5,43,3.09
1708438868000,331.66,-2.5,43,3.09
1708438868000,335.31,-2.5,43,3.09
1708438868000,338.17,-2.5,43,3.09
1708438868000,339.81,-2.5,43,3.09
1708438868000,341.48,-2.5,43,3.09
1708438868000,345.06,-2.5,43,3.09
